Table S1, Yamamoto and Webb et al.
Gene	Cytoband	Mean Log2 Expression in CLDN4 High 	Mean Log2 Expression in CLDN4 Low 	Mean Log2 Standard Deviation in CLDN4 High 	Mean Log2 Standard Deviation in CLDN4 Low 	Log2 of Ratio (unlogged CLDN4 High/CLDN4 Low) 	p-Value	q-Value	Higher expression in
PCF11	11q14.1	9.8800000000000008	9.93	0.5	0.54	-0.05	0.376	0.625	 CLDN4 Low
ZFAND1	8q21.13	9.61	9.5399999999999991	0.64	0.57999999999999996	0.06	0.376	0.625	 CLDN4 High 
ELMOD2	4q31.1	7.03	7.09	0.56999999999999995	0.57999999999999996	-0.06	0.376	0.625	 CLDN4 Low
SUMF1	3p26.1	10.050000000000001	9.99	0.62	0.65	0.06	0.376	0.625	 CLDN4 High 
GSTM2	1p13.3	8.81	8.69	1.27	1.1399999999999999	0.12	0.376	0.625	 CLDN4 High 
KLHL8	4q22.1	8.08	8.0299999999999994	0.6	0.54	0.06	0.376	0.625	 CLDN4 High 
BEX2	Xq22.2	8.69	8.58	1.07	1.18	0.11	0.376	0.626	 CLDN4 High 
ZNF48	16p11.2	8.84	8.89	0.53	0.53	-0.05	0.376	0.626	 CLDN4 Low
RETREG1	5p15.1	6.97	7.12	1.34	1.52	-0.14000000000000001	0.376	0.626	 CLDN4 Low
ADAM8	10q26.3	9.15	9.0399999999999991	1.06	1.27	0.12	0.376	0.626	 CLDN4 High 
FAM83F	22q13.1	4.96	5.21	2.4500000000000002	2.38	-0.24	0.376	0.626	 CLDN4 Low
ZNF20	19p13.2	7.54	7.47	0.73	0.7	7.0000000000000007E-2	0.376	0.626	 CLDN4 High 
TPM2	9p13.3	10.84	10.94	1.01	1.0900000000000001	-0.11	0.376	0.626	 CLDN4 Low
SPDEF	6p21.31	7.99	7.75	2.4500000000000002	2.2799999999999998	0.24	0.377	0.626	 CLDN4 High 
MS4A10	11q12.2	0.03	0.05	0.14000000000000001	0.18	-0.02	0.377	0.626	 CLDN4 Low
BSX	11q24.1	0.02	0.03	0.1	0.17	-0.01	0.377	0.626	 CLDN4 Low
RUVBL1	3q21.3	10.68	10.73	0.49	0.53	-0.05	0.377	0.626	 CLDN4 Low
TTC30B	2q31.2	8.6300000000000008	8.56	0.71	0.69	7.0000000000000007E-2	0.377	0.626	 CLDN4 High 
ZNF83	19q13.41	9.58	9.66	0.76	0.77	-0.08	0.377	0.626	 CLDN4 Low
LYSMD2	15q21.2	7.63	7.53	1.01	0.94	0.1	0.377	0.626	 CLDN4 High 
LSAMP	3q13.31	4.07	4.2699999999999996	1.8	2.02	-0.19	0.377	0.626	 CLDN4 Low
OR51B4	11p15.4	0.35	0.28000000000000003	0.85	0.53	7.0000000000000007E-2	0.377	0.626	 CLDN4 High 
TMEM254	10q22.3	9.76	9.82	0.64	0.6	-0.06	0.377	0.626	 CLDN4 Low
ACTC1	15q14	2.1	2.29	1.76	1.89	-0.18	0.377	0.626	 CLDN4 Low
SNORA2C	12q13.11	0.61	0.53	0.89	0.68	0.08	0.377	0.626	 CLDN4 High 
FMR1	Xq27.3	10.75	10.82	0.59	0.69	-0.06	0.377	0.626	 CLDN4 Low
HNRNPAB	5q35.3	12.2	12.14	0.59	0.61	0.06	0.377	0.626	 CLDN4 High 
IL20	1q32.1	1.04	0.93	1.08	1.1399999999999999	0.11	0.377	0.626	 CLDN4 High 
RNF126P1	17q22	2.72	2.56	1.69	1.54	0.16	0.377	0.626	 CLDN4 High 
HERPUD1	16q13	11.07	11.01	0.61	0.64	0.06	0.377	0.627	 CLDN4 High 
PLA2G1B	12q24.31	1.27	1.1499999999999999	1.1200000000000001	1.36	0.13	0.377	0.627	 CLDN4 High 
CCL2	17q12	9.43	9.2799999999999994	1.42	1.46	0.15	0.377	0.627	 CLDN4 High 
CDK5RAP3	17q21.32	10.57	10.5	0.64	0.66	7.0000000000000007E-2	0.377	0.627	 CLDN4 High 
SEPTIN1	16p11.2	7.04	7.14	0.95	0.95	-0.1	0.378	0.627	 CLDN4 Low
LINC00052	15q25.3	0.88	0.76	1.22	1.29	0.13	0.378	0.627	 CLDN4 High 
CLEC17A	19p13.12	1.35	1.48	1.1599999999999999	1.24	-0.12	0.378	0.627	 CLDN4 Low
SLC25A47	14q32.2	0.93	1.03	0.9	1.05	-0.1	0.378	0.627	 CLDN4 Low
LRRC37A2	17q21.31	6.52	6.41	1.1599999999999999	1.03	0.11	0.378	0.627	 CLDN4 High 
SNX17	2p23.3	11.48	11.44	0.48	0.43	0.05	0.378	0.627	 CLDN4 High 
NR1I2	3q13.33	3.72	3.86	1.29	1.49	-0.14000000000000001	0.378	0.627	 CLDN4 Low
DDAH2	6p21.33	11.3	11.22	0.8	0.72	0.08	0.378	0.627	 CLDN4 High 
PAGE2B	Xp11.21	0.39	0.52	1.26	1.48	-0.14000000000000001	0.378	0.627	 CLDN4 Low
ADAM7	8p21.2	0	0.01	0.04	0.08	-0.01	0.378	0.627	 CLDN4 Low
MAX	14q23.3	10.199999999999999	10.25	0.47	0.48	-0.05	0.378	0.627	 CLDN4 Low
IPW	15q11.2	8.43	8.25	1.68	1.87	0.18	0.378	0.627	 CLDN4 High 
PRKCH	14q23.1	8.15	8.07	0.86	0.79	0.08	0.378	0.627	 CLDN4 High 
KHK	2p23.3	6.59	6.68	0.9	0.99	-0.1	0.378	0.627	 CLDN4 Low
MYH4	17p13.1	0.13	7.0000000000000007E-2	0.77	0.21	0.06	0.378	0.627	 CLDN4 High 
SRPX	Xp11.4	6.97	7.11	1.31	1.35	-0.13	0.378	0.627	 CLDN4 Low
PAQR7	1p36.11	8.81	8.8800000000000008	0.8	0.68	-7.0000000000000007E-2	0.379	0.628	 CLDN4 Low
SLC16A14	2q36.3	6.46	6.56	0.98	1	-0.1	0.379	0.628	 CLDN4 Low
C10ORF82	10q25.3	3.84	4.04	1.96	1.91	-0.19	0.379	0.628	 CLDN4 Low
HMSD	18q22.1	1.57	1.73	1.64	1.52	-0.16	0.379	0.628	 CLDN4 Low
OR2A12	7q35	0.05	7.0000000000000007E-2	0.19	0.22	-0.02	0.379	0.628	 CLDN4 Low
SLC6A10P	16p11.2	3.87	4.22	3.49	3.46	-0.35	0.379	0.628	 CLDN4 Low
MYOG	1q32.1	0.76	0.87	1.21	0.95	-0.11	0.379	0.628	 CLDN4 Low
RXFP3	5p13.2	0.47	0.54	0.63	0.6	-0.06	0.379	0.628	 CLDN4 Low
RFX2	19p13.3	7.43	7.56	1.23	1.22	-0.12	0.379	0.628	 CLDN4 Low
LINC00470	18p11.32	1.4	1.23	1.69	1.57	0.16	0.379	0.628	 CLDN4 High 
DLX6-AS1	7q21.3	1.85	1.66	2.0499999999999998	1.89	0.2	0.379	0.628	 CLDN4 High 
ETV1	7p21.2	7.47	7.33	1.33	1.51	0.14000000000000001	0.379	0.628	 CLDN4 High 
RP2	Xp11.3	8.61	8.67	0.62	0.57999999999999996	-0.06	0.379	0.628	 CLDN4 Low
ACTRT2	1p36.32	0.25	0.34	0.83	0.95	-0.09	0.379	0.628	 CLDN4 Low
C21ORF62	21q22.11	2.11	2.27	1.48	1.61	-0.16	0.379	0.628	 CLDN4 Low
GPA33	1q24.1	2.09	1.97	1.33	1.1000000000000001	0.12	0.379	0.628	 CLDN4 High 
FAM131B	7q34	4.8	4.92	1.25	1.1299999999999999	-0.12	0.379	0.628	 CLDN4 Low
SRSF4	1p35.3	10.59	10.64	0.5	0.35	-0.04	0.379	0.628	 CLDN4 Low
DAW1	2q36.3	2.87	2.63	2.4	2.29	0.24	0.38	0.628	 CLDN4 High 
UFSP2	4q35.1	8.59	8.5399999999999991	0.43	0.46	0.04	0.38	0.628	 CLDN4 High 
CTLA4	2q33.2	3.54	3.72	1.67	1.73	-0.17	0.38	0.628	 CLDN4 Low
FOXD2-AS1	1p33	4.6399999999999997	4.8	1.45	1.58	-0.15	0.38	0.628	 CLDN4 Low
CENPBD1P1	19q13.43	9.27	9.33	0.57999999999999996	0.53	-0.06	0.38	0.628	 CLDN4 Low
GZMK	5q11.2	4.13	4.34	2.0699999999999998	2.06	-0.21	0.38	0.628	 CLDN4 Low
GDF9	5q31.1	4.79	4.7	0.91	0.79	0.09	0.38	0.628	 CLDN4 High 
MS4A2	11q12.1	1.33	1.46	1.21	1.28	-0.13	0.38	0.628	 CLDN4 Low
EFCAB12	3q21.3	5.52	5.36	1.7	1.57	0.16	0.38	0.628	 CLDN4 High 
GAL3ST1	22q12.2	5.43	5.58	1.6	1.48	-0.15	0.38	0.628	 CLDN4 Low
KRTAP12-1	21q22.3	0.03	0.04	0.14000000000000001	0.14000000000000001	-0.01	0.38	0.628	 CLDN4 Low
L3MBTL1	20q13.12	7.66	7.77	1.1100000000000001	1.08	-0.11	0.38	0.628	 CLDN4 Low
ABCA12	2q35	2.35	2.5099999999999998	1.57	1.61	-0.16	0.38	0.628	 CLDN4 Low
LMNB2	19p13.3	10.77	10.84	0.68	0.68	-7.0000000000000007E-2	0.38	0.628	 CLDN4 Low
KCNJ13	2q37.1	3.26	3.39	1.37	1.34	-0.14000000000000001	0.38	0.628	 CLDN4 Low
IFT46	11q23.3	9.27	9.34	0.61	0.7	-7.0000000000000007E-2	0.38	0.628	 CLDN4 Low
KRTAP10-10	21q22.3	0.03	0.05	0.13	0.2	-0.02	0.38	0.629	 CLDN4 Low
MYH6	14q11.2	1.81	2.04	2.29	2.39	-0.23	0.38	0.629	 CLDN4 Low
TNKS1BP1	11q12.1	11.76	11.7	0.69	0.62	7.0000000000000007E-2	0.38	0.629	 CLDN4 High 
MMP24	20q11.22	8.43	8.5299999999999994	1	1.07	-0.1	0.38	0.629	 CLDN4 Low
ELFN1	7p22.3	5.92	6.02	0.9	1.0900000000000001	-0.1	0.38	0.629	 CLDN4 Low
SYDE2	1p22.3	6.21	6.3	0.85	0.9	-0.09	0.38	0.629	 CLDN4 Low
VCX	Xp22.31	0.99	1.1399999999999999	1.44	1.4	-0.14000000000000001	0.38	0.629	 CLDN4 Low
PAN3	13q12.2	9.5	9.56	0.64	0.53	-0.06	0.38100000000000001	0.629	 CLDN4 Low
SEC14L4	22q12.2	3.6	3.8	2.09	1.97	-0.2	0.38100000000000001	0.629	 CLDN4 Low
ING2	4q35.1	7.47	7.42	0.51	0.54	0.05	0.38100000000000001	0.629	 CLDN4 High 
RNF215	22q12.2	7.58	7.52	0.69	0.63	7.0000000000000007E-2	0.38100000000000001	0.629	 CLDN4 High 
PARP3	3p21.2	9.14	9.07	0.75	0.78	0.08	0.38100000000000001	0.629	 CLDN4 High 
KRT33A	17q21.2	0.04	0.06	0.19	0.28000000000000003	-0.02	0.38100000000000001	0.629	 CLDN4 Low
NTSR1	20q13.33	2.79	2.63	1.6	1.66	0.16	0.38100000000000001	0.629	 CLDN4 High 
DUSP7	3p21.2	9.2799999999999994	9.34	0.62	0.65	-0.06	0.38100000000000001	0.629	 CLDN4 Low
PPP2CB	8p12	10.74	10.68	0.56000000000000005	0.61	0.06	0.38100000000000001	0.629	 CLDN4 High 
MYBL2	20q13.12	10.67	10.79	1.27	1.17	-0.12	0.38100000000000001	0.629	 CLDN4 Low
F12	5q35.3	5.21	5.04	1.76	1.77	0.18	0.38100000000000001	0.629	 CLDN4 High 
MRPS23	17q22	9.49	9.42	0.68	0.71	7.0000000000000007E-2	0.38100000000000001	0.629	 CLDN4 High 
COLEC10	8q24.12	1.74	1.64	1.07	1.02	0.1	0.38100000000000001	0.629	 CLDN4 High 
RELN	7q22.1	4.49	4.76	2.67	2.63	-0.27	0.38100000000000001	0.629	 CLDN4 Low
NT5C	17q25	8.98	8.91	0.74	0.65	7.0000000000000007E-2	0.38100000000000001	0.629	 CLDN4 High 
OR11H6	14q11.2	0.11	0.08	0.3	0.25	0.03	0.38100000000000001	0.629	 CLDN4 High 
MOB4	2q33.1	10.08	10.039999999999999	0.47	0.42	0.04	0.38100000000000001	0.629	 CLDN4 High 
FBXL3	13q22.3	10.23	10.18	0.54	0.54	0.05	0.38100000000000001	0.629	 CLDN4 High 
LRRN4CL	11q12.3	5.68	5.54	1.26	1.51	0.14000000000000001	0.38100000000000001	0.629	 CLDN4 High 
NAA35	9q21.33	8.64	8.69	0.49	0.46	-0.05	0.38100000000000001	0.629	 CLDN4 Low
PPM1J	1p13.2	7	6.89	0.98	1.07	0.1	0.38200000000000001	0.629	 CLDN4 High 
QPCT	2p22.2	7.5	7.65	1.51	1.54	-0.15	0.38200000000000001	0.629	 CLDN4 Low
FMO3	1q24.3	3.29	3.49	1.97	2.11	-0.2	0.38200000000000001	0.629	 CLDN4 Low
BMPR2	2q33.1-q33.2	10.97	11.03	0.56999999999999995	0.55000000000000004	-0.06	0.38200000000000001	0.629	 CLDN4 Low
METTL18	1q24.2	7.67	7.61	0.55000000000000004	0.54	0.05	0.38200000000000001	0.629	 CLDN4 High 
CYRIB	8q24.21	10.7	10.77	0.64	0.71	-7.0000000000000007E-2	0.38200000000000001	0.629	 CLDN4 Low
BRINP1	9q33.1	3.16	3.39	2.35	2.29	-0.23	0.38200000000000001	0.629	 CLDN4 Low
RGMB	5q15	9.18	9.11	0.69	0.69	7.0000000000000007E-2	0.38200000000000001	0.629	 CLDN4 High 
GSX1	13q12.2	0.01	0	0.1	0.04	0.01	0.38200000000000001	0.629	 CLDN4 High 
GBGT1	9q34.2	7.11	7.2	0.94	0.83	-0.09	0.38200000000000001	0.629	 CLDN4 Low
KLK12	19q13.41	1.48	1.59	1.1200000000000001	1.1599999999999999	-0.11	0.38200000000000001	0.629	 CLDN4 Low
RCAN1	21q22.12	8.5299999999999994	8.43	0.91	1	0.1	0.38200000000000001	0.629	 CLDN4 High 
CMPK1	1p33	10.89	10.94	0.52	0.52	-0.05	0.38200000000000001	0.629	 CLDN4 Low
SPRY4	5q31.3	9.52	9.41	1.1499999999999999	1.1399999999999999	0.11	0.38200000000000001	0.63	 CLDN4 High 
ETF1	5q31.2	11.01	11.05	0.46	0.46	-0.05	0.38200000000000001	0.63	 CLDN4 Low
PMP2	8q21.13	0.51	0.44	0.66	0.68	7.0000000000000007E-2	0.38200000000000001	0.63	 CLDN4 High 
SNRPC	6p21.31	10.65	10.59	0.65	0.63	0.06	0.38200000000000001	0.63	 CLDN4 High 
MED27	9q34.13	8.1	8.0399999999999991	0.61	0.6	0.06	0.38200000000000001	0.63	 CLDN4 High 
FCRL2	1q23.1	1.24	1.36	1.19	1.38	-0.13	0.38300000000000001	0.63	 CLDN4 Low
CLCA3P	1p22.3	0.86	0.77	0.97	0.9	0.09	0.38300000000000001	0.63	 CLDN4 High 
HSPA4L	4q28.1	5.24	5.38	1.47	1.32	-0.14000000000000001	0.38300000000000001	0.63	 CLDN4 Low
SERPINB3	18q21.33	0.87	0.71	1.66	1.61	0.16	0.38300000000000001	0.63	 CLDN4 High 
GRIA1	5q33.2	0.71	0.81	0.97	0.99	-0.1	0.38300000000000001	0.63	 CLDN4 Low
TNNT1	19q13.42	9.83	9.66	1.77	1.7	0.17	0.38300000000000001	0.63100000000000001	 CLDN4 High 
LINC01001	11p15.5	5.88	5.78	1.01	0.98	0.1	0.38300000000000001	0.63100000000000001	 CLDN4 High 
OR3A3	17p13.2	0.11	0.15	0.38	0.49	-0.04	0.38300000000000001	0.63100000000000001	 CLDN4 Low
NKX2-3	10q24.2	1.1399999999999999	1.27	1.25	1.28	-0.13	0.38300000000000001	0.63100000000000001	 CLDN4 Low
ISX	22q12.3	0.12	0.19	0.63	0.64	-0.06	0.38300000000000001	0.63100000000000001	 CLDN4 Low
EIF4E1B	5q35.2	1.34	1.49	1.34	1.56	-0.14000000000000001	0.38300000000000001	0.63100000000000001	 CLDN4 Low
FILIP1L	3q12.1	8.9600000000000009	9.08	1.1100000000000001	1.27	-0.12	0.38400000000000001	0.63100000000000001	 CLDN4 Low
TRAPPC9	8q24.3	10.48	10.54	0.61	0.63	-0.06	0.38400000000000001	0.63100000000000001	 CLDN4 Low
MYO6	6q14.1	10.07	9.99	0.66	0.82	7.0000000000000007E-2	0.38400000000000001	0.63100000000000001	 CLDN4 High 
SLC16A13	17p13.1	6.52	6.43	0.9	0.86	0.09	0.38400000000000001	0.63100000000000001	 CLDN4 High 
CCDC81	11q14.2	3.48	3.63	1.68	1.43	-0.16	0.38400000000000001	0.63100000000000001	 CLDN4 Low
FIG4	6q21	8.73	8.7899999999999991	0.6	0.62	-0.06	0.38400000000000001	0.63200000000000001	 CLDN4 Low
AOX2P	2q33.1	0.01	0.02	0.06	0.11	-0.01	0.38400000000000001	0.63200000000000001	 CLDN4 Low
LINC01205	3q13.13	0.01	0.04	0.11	0.33	-0.02	0.38400000000000001	0.63200000000000001	 CLDN4 Low
SHC2	19p13.3	6.45	6.6	1.44	1.53	-0.15	0.38400000000000001	0.63200000000000001	 CLDN4 Low
PDE3A	12p12.2	7.21	7.36	1.48	1.65	-0.16	0.38400000000000001	0.63200000000000001	 CLDN4 Low
PAIP2B	2p13.3	8.35	8.4499999999999993	0.84	1.02	-0.09	0.38400000000000001	0.63200000000000001	 CLDN4 Low
UBALD1	16p13.3	9.91	9.85	0.64	0.56000000000000005	0.06	0.38400000000000001	0.63200000000000001	 CLDN4 High 
DPY19L2P1	7p14.2	1.7	1.85	1.6	1.49	-0.15	0.38400000000000001	0.63200000000000001	 CLDN4 Low
PSMC6	14q22.1	9.4	9.4499999999999993	0.46	0.53	-0.05	0.38400000000000001	0.63200000000000001	 CLDN4 Low
ST7	7q31.2	9.61	9.5500000000000007	0.54	0.54	0.05	0.38400000000000001	0.63200000000000001	 CLDN4 High 
GAS5	1q25.1	10.91	10.81	1.02	1.02	0.1	0.38500000000000001	0.63200000000000001	 CLDN4 High 
DNM1	9q34.11	8.86	8.9700000000000006	1.1299999999999999	1.08	-0.11	0.38500000000000001	0.63200000000000001	 CLDN4 Low
FLT3LG	19q13.33	6.56	6.46	1.05	1	0.1	0.38500000000000001	0.63200000000000001	 CLDN4 High 
HMGB1P1	20q13.31	3.76	3.88	1.28	1.1200000000000001	-0.12	0.38500000000000001	0.63200000000000001	 CLDN4 Low
ACTR5	20q11.23	7.59	7.54	0.54	0.46	0.05	0.38500000000000001	0.63200000000000001	 CLDN4 High 
ROCK1	18q11.1	9.89	9.94	0.49	0.53	-0.05	0.38500000000000001	0.63200000000000001	 CLDN4 Low
CALCOCO2	17q21.32	10.08	10.02	0.56000000000000005	0.56000000000000005	0.06	0.38500000000000001	0.63200000000000001	 CLDN4 High 
CCDC184	12q13.11	5.2	5.08	1.18	1.33	0.12	0.38500000000000001	0.63200000000000001	 CLDN4 High 
BRSK1	19q13.42	7.12	7	1.28	1.1299999999999999	0.12	0.38500000000000001	0.63200000000000001	 CLDN4 High 
GSDME	7p15.3	6.9	6.99	0.86	0.93	-0.09	0.38500000000000001	0.63200000000000001	 CLDN4 Low
SEMA3F	3p21.31	11.18	11.09	0.92	0.88	0.09	0.38500000000000001	0.63200000000000001	 CLDN4 High 
MADCAM1	19p13.3	1.55	1.44	1.23	0.97	0.11	0.38500000000000001	0.63200000000000001	 CLDN4 High 
ZCCHC3	20p13	9.86	9.7799999999999994	0.73	0.72	7.0000000000000007E-2	0.38500000000000001	0.63200000000000001	 CLDN4 High 
TOX4	14q11.2	10.84	10.79	0.54	0.46	0.05	0.38500000000000001	0.63200000000000001	 CLDN4 High 
DCTN3	9p13.3	10.220000000000001	10.16	0.66	0.62	0.06	0.38500000000000001	0.63200000000000001	 CLDN4 High 
OR5V1	6p22.1	0.02	0.06	0.12	0.54	-0.04	0.38500000000000001	0.63300000000000001	 CLDN4 Low
SRGAP3	3p25.3	10.16	10.07	0.82	0.96	0.09	0.38500000000000001	0.63300000000000001	 CLDN4 High 
CACNA2D4	12p13.33	5.56	5.65	0.95	0.89	-0.09	0.38500000000000001	0.63300000000000001	 CLDN4 Low
SLC31A2	9q32	7.13	7.22	0.97	0.89	-0.09	0.38600000000000001	0.63300000000000001	 CLDN4 Low
RPLP0	12q24.23	14.62	14.7	0.78	0.72	-7.0000000000000007E-2	0.38600000000000001	0.63300000000000001	 CLDN4 Low
ADGRE2	19p13.12	6.26	6.39	1.32	1.28	-0.13	0.38600000000000001	0.63300000000000001	 CLDN4 Low
AQP2	12q13.12	2.84	2.99	1.64	1.53	-0.16	0.38600000000000001	0.63300000000000001	 CLDN4 Low
RPL19	17q12	13.96	13.89	0.77	0.63	7.0000000000000007E-2	0.38600000000000001	0.63300000000000001	 CLDN4 High 
CRABP2	1q23.1	13.03	12.89	1.56	1.37	0.15	0.38600000000000001	0.63300000000000001	 CLDN4 High 
PIP4K2A	10p12.2	9.0299999999999994	9.1	0.64	0.69	-7.0000000000000007E-2	0.38600000000000001	0.63300000000000001	 CLDN4 Low
TMEM164	Xq23	9.74	9.81	0.63	0.65	-0.06	0.38600000000000001	0.63300000000000001	 CLDN4 Low
PCDHB14	5q31.3	6.49	6.61	1.26	1.26	-0.12	0.38600000000000001	0.63300000000000001	 CLDN4 Low
MBP	18q23	9.6999999999999993	9.61	0.82	0.92	0.09	0.38600000000000001	0.63300000000000001	 CLDN4 High 
CNPY3	6p21.1	11.08	11.02	0.59	0.57999999999999996	0.06	0.38600000000000001	0.63300000000000001	 CLDN4 High 
HSD17B11	4q22.1	9.6	9.52	0.84	0.79	0.08	0.38600000000000001	0.63400000000000001	 CLDN4 High 
KCNN2	5q22.3	3.01	3.12	1.17	1.0900000000000001	-0.11	0.38600000000000001	0.63400000000000001	 CLDN4 Low
UGT2A1	4q13.3	0.54	0.65	1.03	1.18	-0.11	0.38600000000000001	0.63400000000000001	 CLDN4 Low
DMGDH	5q14.1	3.65	3.79	1.45	1.47	-0.14000000000000001	0.38700000000000001	0.63400000000000001	 CLDN4 Low
DPEP2	16q22.1	4.29	4.17	1.17	1.1599999999999999	0.12	0.38700000000000001	0.63400000000000001	 CLDN4 High 
LIN9	1q42.12	8.18	8.24	0.54	0.57999999999999996	-0.06	0.38700000000000001	0.63400000000000001	 CLDN4 Low
ERI2	16p12.3	8.24	8.3000000000000007	0.57999999999999996	0.57999999999999996	-0.06	0.38700000000000001	0.63400000000000001	 CLDN4 Low
GBP4	1p22.2	9.5299999999999994	9.67	1.45	1.5	-0.15	0.38700000000000001	0.63400000000000001	 CLDN4 Low
SYCP3	12q23.2	0.11	0.09	0.27	0.25	0.03	0.38700000000000001	0.63400000000000001	 CLDN4 High 
GGT7	20q11.22	9.65	9.57	0.77	0.78	0.08	0.38700000000000001	0.63400000000000001	 CLDN4 High 
ZNF600	19q13.42	7.29	7.37	0.71	0.81	-0.08	0.38700000000000001	0.63400000000000001	 CLDN4 Low
CDK5R2	2q35	2.97	3.13	1.6	1.64	-0.16	0.38700000000000001	0.63400000000000001	 CLDN4 Low
ENPP5	6p21.1	9.2200000000000006	9.14	0.79	0.8	0.08	0.38700000000000001	0.63400000000000001	 CLDN4 High 
PCDHA10	5q31.3	4.7300000000000004	5	2.7	2.83	-0.27	0.38700000000000001	0.63400000000000001	 CLDN4 Low
MERTK	2q13	8.3800000000000008	8.4600000000000009	0.82	0.72	-0.08	0.38700000000000001	0.63400000000000001	 CLDN4 Low
DHFR2	3q11.2	7.24	7.31	0.69	0.63	-7.0000000000000007E-2	0.38700000000000001	0.63400000000000001	 CLDN4 Low
ZC3H13	13q14.13	10.4	10.46	0.66	0.67	-7.0000000000000007E-2	0.38700000000000001	0.63400000000000001	 CLDN4 Low
ZNF35	3p21.31	7.72	7.77	0.5	0.52	-0.05	0.38700000000000001	0.63400000000000001	 CLDN4 Low
AMDHD2	16p13.3	7.84	7.77	0.68	0.59	0.06	0.38700000000000001	0.63400000000000001	 CLDN4 High 
WTAP	6q25.3	10.32	10.37	0.5	0.54	-0.05	0.38700000000000001	0.63400000000000001	 CLDN4 Low
AGAP2-AS1	12q14.1	6.98	7.09	1.1499999999999999	1.1299999999999999	-0.11	0.38800000000000001	0.63500000000000001	 CLDN4 Low
SHB	9p13.1	9.44	9.3699999999999992	0.65	0.73	7.0000000000000007E-2	0.38800000000000001	0.63500000000000001	 CLDN4 High 
PIK3CA	3q26.32	8.77	8.83	0.63	0.56999999999999995	-0.06	0.38800000000000001	0.63500000000000001	 CLDN4 Low
PTGER2	14q22.1	6.91	6.74	1.59	1.72	0.16	0.38800000000000001	0.63500000000000001	 CLDN4 High 
CPZ	4p16.1	8.74	8.8800000000000008	1.28	1.57	-0.14000000000000001	0.38800000000000001	0.63500000000000001	 CLDN4 Low
ELL2	5q15	7.65	7.76	1.04	1.1599999999999999	-0.11	0.38800000000000001	0.63500000000000001	 CLDN4 Low
NFIX	19p13.13	12.46	12.37	0.92	0.93	0.09	0.38800000000000001	0.63500000000000001	 CLDN4 High 
EFCC1	3q21.3	5.0999999999999996	4.9400000000000004	1.63	1.64	0.16	0.38800000000000001	0.63500000000000001	 CLDN4 High 
OR2L2	1q44	0.53	0.61	0.82	0.86	-0.08	0.38800000000000001	0.63500000000000001	 CLDN4 Low
ZNF554	19p13.3	6.55	6.6	0.57999999999999996	0.5	-0.05	0.38800000000000001	0.63500000000000001	 CLDN4 Low
PRUNE1	1q21.3	10.42	10.37	0.53	0.56999999999999995	0.05	0.38800000000000001	0.63500000000000001	 CLDN4 High 
ZNF155	19q13.31	6.54	6.62	0.88	0.83	-0.08	0.38800000000000001	0.63500000000000001	 CLDN4 Low
MED25	19q13.33	11.34	11.29	0.53	0.5	0.05	0.38900000000000001	0.63500000000000001	 CLDN4 High 
FAP	2q24.2	6.75	7	2.56	2.59	-0.25	0.38900000000000001	0.63600000000000001	 CLDN4 Low
GPR153	1p36.31	8.8000000000000007	8.92	1.24	1.18	-0.12	0.38900000000000001	0.63600000000000001	 CLDN4 Low
TFAP4	16p13.3	9.0500000000000007	8.99	0.56999999999999995	0.67	0.06	0.38900000000000001	0.63600000000000001	 CLDN4 High 
OPRL1	20q13.33	5.97	5.87	1.03	0.94	0.1	0.38900000000000001	0.63600000000000001	 CLDN4 High 
ADAD1	4q27	0.05	0.03	0.21	0.14000000000000001	0.02	0.38900000000000001	0.63600000000000001	 CLDN4 High 
MOS	8q12.1	0.13	0.18	0.38	0.51	-0.04	0.38900000000000001	0.63600000000000001	 CLDN4 Low
IFI6	1p35.3	13.38	13.22	1.66	1.66	0.16	0.38900000000000001	0.63600000000000001	 CLDN4 High 
SPPL2A	15q21.2	8.56	8.6199999999999992	0.66	0.65	-0.06	0.38900000000000001	0.63600000000000001	 CLDN4 Low
RNF144B	6p22.3	9.99	9.8699999999999992	1.21	1.2	0.12	0.38900000000000001	0.63600000000000001	 CLDN4 High 
DRC1	2p23.3	4.3	4.07	2.52	2.2799999999999998	0.24	0.39	0.63600000000000001	 CLDN4 High 
APOF	12q13.3	0.45	0.51	0.56999999999999995	0.51	-0.05	0.39	0.63600000000000001	 CLDN4 Low
PPP1R16B	20q11.23	8.67	8.81	1.41	1.44	-0.14000000000000001	0.39	0.63600000000000001	 CLDN4 Low
PFKL	21q22.3	12.17	12.11	0.56000000000000005	0.63	0.06	0.39	0.63600000000000001	 CLDN4 High 
ZNF90	19p12	9.94	9.85	1.06	0.91	0.1	0.39	0.63700000000000001	 CLDN4 High 
M6PR	12p13.31	11.57	11.62	0.59	0.59	-0.06	0.39	0.63700000000000001	 CLDN4 Low
PLSCR5	3q24	0.05	0.1	0.38	0.57999999999999996	-0.05	0.39	0.63700000000000001	 CLDN4 Low
FAM83D	20q11.23	9.41	9.5	1	0.87	-0.09	0.39	0.63700000000000001	 CLDN4 Low
PBDC1	Xq13.3	8.42	8.3699999999999992	0.44	0.47	0.04	0.39	0.63700000000000001	 CLDN4 High 
BMPR1B	4q22.3	8.6	8.4700000000000006	1.1100000000000001	1.48	0.13	0.39	0.63700000000000001	 CLDN4 High 
