gene	cytoband	mean_log2_cldn4_high	mean_log2_cldn4_low	sd_log2_cldn4_high	sd_log2_cldn4_low	log2_ratio_high_over_low	p_value	q_value	higher_expression_in
PTPRC	1q31.3-q32.1	8.25	8.48	1.44	1.51	-0.22	0.184	0.429	CLDN4 Low
DYNLT2B	3q29	7.13	7.3	1.13	1.02	-0.16	0.184	0.429	CLDN4 Low
CCDC150	2q33.1	4.91	5.12	1.41	1.23	-0.2	0.184	0.429	CLDN4 Low
LRRIQ4	3q26.2	2.1	1.91	1.35	1.22	0.2	0.184	0.43	CLDN4 High
CDK9	9q34.11	10.1	10.03	0.46	0.43	0.07	0.184	0.43	CLDN4 High
BAZ2A	12q13.3	11.62	11.71	0.58	0.51	-0.08	0.184	0.43	CLDN4 Low
RALGAPA2	20p11.23	8.58	8.72	0.98	0.83	-0.14	0.184	0.43	CLDN4 Low
RIMBP2	12q24.33	5.31	5.67	2.24	2.45	-0.36	0.184	0.43	CLDN4 Low
LRRC2	3p21.31	4.04	4.29	1.57	1.73	-0.25	0.184	0.43	CLDN4 Low
BRD3	9q34.2	10.3	10.38	0.55	0.56	-0.08	0.184	0.43	CLDN4 Low
SFT2D2	1q24.2	6.92	6.82	0.69	0.62	0.1	0.184	0.43	CLDN4 High
KLRC4	12p13.2	0.73	0.88	1.01	1.04	-0.16	0.184	0.43	CLDN4 Low
DHX8	17q21.31	9.9	9.97	0.44	0.48	-0.07	0.184	0.43	CLDN4 Low
NKX2-6	8p21.2	0.02	0.05	0.1	0.29	-0.03	0.184	0.43	CLDN4 Low
CCNDBP1	15q15.2	9.49	9.39	0.69	0.62	0.1	0.184	0.43	CLDN4 High
PATJ	1p31.3	10.2	10.29	0.56	0.69	-0.1	0.185	0.43	CLDN4 Low
PRRT4	7q32.1	2.53	2.76	1.44	1.57	-0.23	0.185	0.43	CLDN4 Low
TEKT1	17p13.1	3.74	3.34	2.76	2.57	0.4	0.185	0.43	CLDN4 High
DMRT3	9p24.3	2.67	2.98	2.17	1.96	-0.31	0.185	0.43	CLDN4 Low
SPATA25	20q13.12	3.39	3.53	0.99	0.84	-0.14	0.185	0.43	CLDN4 Low
PCNX3	11q13.1	11.52	11.6	0.56	0.47	-0.08	0.185	0.43	CLDN4 Low
PLA2G2D	1p36.12	3.66	4.02	2.2	2.51	-0.36	0.185	0.43	CLDN4 Low
MYLK2	20q11.21	3.69	3.89	1.3	1.24	-0.19	0.185	0.431	CLDN4 Low
SCARNA16	17q25.2	2.92	2.68	1.68	1.5	0.24	0.185	0.431	CLDN4 High
NKX1-2	10q26.13	0.22	0.32	0.51	0.73	-0.1	0.185	0.431	CLDN4 Low
ENDOG	9q34.11	8.21	8.08	0.86	0.76	0.12	0.185	0.431	CLDN4 High
CA7	16q22.1	0.78	0.94	1.08	0.96	-0.15	0.185	0.431	CLDN4 Low
NME1	17q21.33	11.07	10.95	0.78	0.78	0.12	0.185	0.431	CLDN4 High
DCANP1	5q31.1	2.52	2.77	1.52	1.68	-0.24	0.185	0.431	CLDN4 Low
SCARNA1	1p35.3	0.77	0.63	1.13	0.77	0.15	0.185	0.431	CLDN4 High
DYNLT1	6q25.3	10.1	9.99	0.65	0.68	0.1	0.185	0.431	CLDN4 High
PPIL1	6p21.2	9.87	9.97	0.66	0.65	-0.1	0.185	0.431	CLDN4 Low
TIE1	1p34.2	7.78	7.9	0.71	0.84	-0.12	0.185	0.432	CLDN4 Low
WBP11	12p12.3	11.48	11.57	0.55	0.57	-0.09	0.185	0.432	CLDN4 Low
LINC00515	21q21.3	0.94	1.06	0.76	0.79	-0.12	0.185	0.432	CLDN4 Low
SERPINA1	14q32.13	10.59	10.35	1.58	1.65	0.25	0.186	0.432	CLDN4 High
OR12D2	6p22.1	0	0.01	0.02	0.08	-0.01	0.186	0.432	CLDN4 Low
CD8B	2p11.2	4.38	4.66	1.66	2.03	-0.28	0.186	0.432	CLDN4 Low
SNRPGP15	19p13.12	6.55	6.44	0.75	0.7	0.11	0.186	0.432	CLDN4 High
CHIA	1p13.2	0.44	0.28	1.18	0.89	0.16	0.186	0.433	CLDN4 High
TTC32	2p24.1	6.32	6.2	0.83	0.78	0.12	0.186	0.433	CLDN4 High
OGDH	7p13	11.39	11.32	0.46	0.53	0.07	0.186	0.433	CLDN4 High
GRXCR2	5q32	0.14	0.1	0.31	0.28	0.05	0.186	0.433	CLDN4 High
PADI1	1p36.13	1.58	1.31	1.94	1.57	0.27	0.186	0.433	CLDN4 High
SLC38A10	17q25.3	10.91	10.99	0.57	0.55	-0.08	0.186	0.433	CLDN4 Low
VPS13A	9q21.2	8.17	8.26	0.61	0.61	-0.09	0.186	0.433	CLDN4 Low
DDX19B	16q22.1	8.19	8.1	0.56	0.55	0.08	0.186	0.433	CLDN4 High
IL9R	Xq28 and Yq12	1.32	1.49	1.04	1.14	-0.16	0.186	0.433	CLDN4 Low
REM2	14q11.2	4.9	4.74	1.15	0.93	0.16	0.187	0.433	CLDN4 High
NKX6-1	4q21.23	3.68	4.07	2.56	2.6	-0.39	0.187	0.433	CLDN4 Low
SLX4IP	20p12.2	5.07	5.19	0.8	0.75	-0.12	0.187	0.433	CLDN4 Low
P2RX6P	22q11.21	0.01	0.02	0.05	0.11	-0.01	0.187	0.433	CLDN4 Low
PLA2G4E	15q15.1	0.23	0.31	0.47	0.55	-0.08	0.187	0.433	CLDN4 Low
MAGEE1	Xq13.3	6.77	6.91	1	0.93	-0.15	0.187	0.433	CLDN4 Low
NAB1	2q32.2	10.83	10.94	0.69	0.69	-0.1	0.187	0.434	CLDN4 Low
ARHGAP44	17p12	7.79	7.97	1.14	1.24	-0.18	0.187	0.434	CLDN4 Low
ADCY1	7p12.3	5.83	6.07	1.52	1.63	-0.24	0.187	0.434	CLDN4 Low
PRDM14	8q13.3	0.2	0.31	0.57	0.87	-0.11	0.187	0.434	CLDN4 Low
CCNB2	15q22.2	9.67	9.81	0.9	0.88	-0.13	0.187	0.434	CLDN4 Low
SUPT6H	17q11.2	10.93	11.02	0.58	0.59	-0.09	0.187	0.434	CLDN4 Low
MEGF11	15q22.31	3.55	3.83	1.85	1.93	-0.29	0.187	0.434	CLDN4 Low
CCNK	14q32.2	10.5	10.57	0.5	0.46	-0.07	0.187	0.434	CLDN4 Low
SLC5A7	2q12.3	0.47	0.64	0.89	1.36	-0.17	0.187	0.434	CLDN4 Low
TMED10	14q24.3	12.87	12.95	0.5	0.53	-0.08	0.187	0.434	CLDN4 Low
F8A1	Xq28	9.81	9.72	0.6	0.61	0.09	0.187	0.434	CLDN4 High
FOLR3	11q13.4	4.96	4.61	2.29	2.38	0.35	0.187	0.434	CLDN4 High
PFN1P2	1p11.2	3.26	3.39	0.83	0.96	-0.14	0.187	0.434	CLDN4 Low
RSPO2	8q23.1	0.67	0.8	0.88	0.92	-0.14	0.187	0.434	CLDN4 Low
RAB43	3q21.3	8.93	8.84	0.62	0.67	0.1	0.187	0.434	CLDN4 High
SHROOM3	4q21.1	10.88	10.76	0.76	0.88	0.12	0.187	0.434	CLDN4 High
TCEANC2	1p32.3	7.64	7.71	0.51	0.48	-0.07	0.187	0.434	CLDN4 Low
PBX1	1q23.3	11.95	12.05	0.65	0.68	-0.1	0.187	0.434	CLDN4 Low
OR51S1	11p15.4	0.01	0.02	0.05	0.14	-0.02	0.187	0.434	CLDN4 Low
BANF1	11q13.1	12.38	12.28	0.61	0.62	0.09	0.187	0.434	CLDN4 High
SEL1L3	4p15.2	11.01	10.9	0.69	0.79	0.11	0.187	0.434	CLDN4 High
PHYKPL	5q35.3	9.06	8.96	0.68	0.64	0.1	0.187	0.434	CLDN4 High
TNFSF12	17p13.1	8.38	8.26	0.75	0.78	0.11	0.187	0.434	CLDN4 High
UBASH3A	21q22.3	3.2	3.45	1.53	1.73	-0.25	0.187	0.434	CLDN4 Low
CARMIL2	16q22.1	5.22	5.51	1.9	1.92	-0.29	0.187	0.434	CLDN4 Low
TRAF1	9q33.2	7.22	7.34	0.78	0.85	-0.12	0.187	0.434	CLDN4 Low
PI4KAP1	22q11.21	7.65	7.8	1.03	1.04	-0.16	0.187	0.434	CLDN4 Low
CRISP3	6p12.3	4.29	3.81	3.19	3.18	0.48	0.188	0.434	CLDN4 High
INSIG2	2q14.1-q14.2	8.31	8.39	0.47	0.53	-0.08	0.188	0.434	CLDN4 Low
CXCR5	11q23.3	3.1	3.27	1.06	1.21	-0.17	0.188	0.434	CLDN4 Low
BCL9	1q21.2	11.16	11.05	0.74	0.67	0.11	0.188	0.434	CLDN4 High
PDIA6	2p25.1	13.07	12.98	0.53	0.6	0.09	0.188	0.434	CLDN4 High
ABCB5	7p21.1	1.75	1.99	1.5	1.67	-0.24	0.188	0.434	CLDN4 Low
MAP2K7	19p13.2	10.21	10.12	0.62	0.61	0.09	0.188	0.434	CLDN4 High
SKA2	17q23.2	9.83	9.93	0.72	0.67	-0.1	0.188	0.435	CLDN4 Low
CCDC136	7q32.1	3.79	4	1.31	1.39	-0.2	0.188	0.435	CLDN4 Low
LAMP5	20p12.2	8.04	8.3	1.64	1.7	-0.25	0.188	0.435	CLDN4 Low
PEG10	7q21.3	11.21	10.94	1.65	1.92	0.27	0.188	0.435	CLDN4 High
PGLS	19p13.11	11.38	11.26	0.73	0.77	0.11	0.188	0.435	CLDN4 High
C20ORF173	20q11.22	0.39	0.48	0.59	0.6	-0.09	0.188	0.435	CLDN4 Low
BCL2L12	19q13.33	9.01	8.91	0.65	0.68	0.1	0.188	0.435	CLDN4 High
ZNF595	4p16.3	8.11	8.24	0.83	0.84	-0.13	0.188	0.435	CLDN4 Low
TMEM190	19q13.42	3.22	2.88	2.43	2.11	0.34	0.188	0.435	CLDN4 High
LAMC1	1q25.3	12.67	12.77	0.67	0.72	-0.1	0.188	0.435	CLDN4 Low
NAA38	17p13.1	10.05	9.94	0.82	0.68	0.11	0.188	0.435	CLDN4 High
DHRSX	Xp22.33 and Yp11.2	8.51	8.39	0.78	0.77	0.12	0.188	0.435	CLDN4 High
CCDC146	7q11.23	9.27	8.97	1.7	2.15	0.29	0.188	0.435	CLDN4 High
C3ORF14	3p14.2	6.93	6.74	1.19	1.26	0.18	0.188	0.435	CLDN4 High
EPHX3	19p13.12	6	5.63	2.66	2.22	0.37	0.188	0.435	CLDN4 High
LDHAL6A	11p15.1	1.36	1.21	1.19	0.85	0.16	0.188	0.435	CLDN4 High
PRSS3P2	7q34 alternate reference locus	2.52	2.25	1.81	1.84	0.27	0.188	0.435	CLDN4 High
CSRP2	12q21.2	7.88	8.06	1.19	1.26	-0.18	0.189	0.435	CLDN4 Low
LRRC4C	11p12	5.28	5.55	1.7	1.89	-0.27	0.189	0.435	CLDN4 Low
CHTF18	16p13.3	9.07	9.18	0.74	0.77	-0.11	0.189	0.435	CLDN4 Low
ELOVL3	10q24.32	4.79	4.54	1.74	1.68	0.26	0.189	0.435	CLDN4 High
TAF13	1p13.3	6.95	6.84	0.72	0.69	0.11	0.189	0.435	CLDN4 High
SMIM21	18q23	0.05	0.08	0.17	0.22	-0.03	0.189	0.435	CLDN4 Low
RXRG	1q23.3	3.67	4.1	2.85	2.82	-0.43	0.189	0.435	CLDN4 Low
RABEPK	9q33.3	8.69	8.77	0.55	0.55	-0.08	0.189	0.436	CLDN4 Low
CDC42EP3	2p22.2	9.37	9.48	0.67	0.74	-0.11	0.189	0.436	CLDN4 Low
NPY	7p15.3	2.49	2.1	2.74	2.46	0.39	0.189	0.436	CLDN4 High
CYC1	8q24.3	12.48	12.34	0.91	0.91	0.14	0.189	0.436	CLDN4 High
ZNF770	15q14	9.68	9.79	0.74	0.7	-0.11	0.19	0.437	CLDN4 Low
MT1M	16q13	3.9	4.2	2	2.06	-0.3	0.19	0.437	CLDN4 Low
N4BP1	16q12.1	10.15	10.22	0.5	0.46	-0.07	0.19	0.437	CLDN4 Low
CDKN2D	19p13.2	7.93	7.78	1.05	0.98	0.15	0.19	0.437	CLDN4 High
CYP7A1	8q12.1	0.61	0.51	0.7	0.56	0.09	0.19	0.437	CLDN4 High
C1R	12p13.31	11.88	12.05	1.15	1.13	-0.17	0.19	0.437	CLDN4 Low
YPEL4	11q12.1	4.29	4.43	1.04	0.89	-0.15	0.19	0.437	CLDN4 Low
MAPKBP1	15q15.1	8.59	8.7	0.76	0.72	-0.11	0.19	0.437	CLDN4 Low
LINC00930	15q26.1	3.47	3.74	1.87	1.78	-0.27	0.19	0.437	CLDN4 Low
GPR37	7q31.33	5.96	6.22	1.79	1.65	-0.26	0.19	0.438	CLDN4 Low
SYNJ1	21q22.11	7.4	7.49	0.63	0.62	-0.09	0.19	0.438	CLDN4 Low
NOCT	4q31.1	6.48	6.58	0.69	0.75	-0.11	0.19	0.438	CLDN4 Low
TDRD5	1q25.2	5.83	5.58	1.53	1.77	0.25	0.19	0.438	CLDN4 High
A2M-AS1	12p13.31	6.24	6.37	0.87	0.94	-0.14	0.191	0.438	CLDN4 Low
SEPHS1P1	7q11.21	2.18	2.01	1.06	1.12	0.16	0.191	0.438	CLDN4 High
GALNT12	9q22.33	8.55	8.4	1	0.95	0.15	0.191	0.439	CLDN4 High
DDB2	11p11.2	8.29	8.38	0.6	0.62	-0.09	0.191	0.439	CLDN4 Low
PTPRU	1p35.3	11.06	10.9	1.05	1.09	0.16	0.191	0.439	CLDN4 High
LINC00638	14q32.33	5.55	5.71	1.08	1.06	-0.16	0.191	0.439	CLDN4 Low
APCS	1q23.2	0.15	0.25	0.45	0.84	-0.1	0.191	0.439	CLDN4 Low
COPS7B	2q37.1	9.94	9.87	0.47	0.47	0.07	0.191	0.439	CLDN4 High
PTK2	8q24.3	11.36	11.45	0.57	0.57	-0.09	0.191	0.439	CLDN4 Low
CEACAM7	19q13.2	0.82	0.59	1.78	1.25	0.23	0.191	0.439	CLDN4 High
TSPY26P	20q11.21	6.59	6.74	1	1	-0.15	0.191	0.439	CLDN4 Low
ZCCHC8	12q24.31	8.96	9.03	0.46	0.49	-0.07	0.191	0.439	CLDN4 Low
OR2A9P	7q35	7.13	7	0.77	0.92	0.13	0.191	0.439	CLDN4 High
KRT4	12q13.13	5.41	4.99	2.87	2.76	0.42	0.191	0.439	CLDN4 High
DNAJC9	10q22.2	9.48	9.56	0.54	0.53	-0.08	0.191	0.439	CLDN4 Low
FBXO34	14q22.3	9.93	10.02	0.53	0.63	-0.09	0.191	0.439	CLDN4 Low
TTF1	9q34.13	8.12	8.19	0.48	0.48	-0.07	0.191	0.439	CLDN4 Low
MAP1A	15q15.3	8.54	8.69	1.01	1.06	-0.15	0.191	0.439	CLDN4 Low
LRRC7	1p31.1	2.44	2.74	2.01	1.97	-0.3	0.191	0.439	CLDN4 Low
ZNF217	20q13.2	11.52	11.42	0.69	0.71	0.1	0.191	0.439	CLDN4 High
MAGEB16	Xp21.1	0.14	0.2	0.32	0.54	-0.07	0.191	0.439	CLDN4 Low
VEGFB	11q13.1	10.94	10.86	0.55	0.53	0.08	0.191	0.439	CLDN4 High
EXOSC6	16q22.1	8.07	7.98	0.61	0.56	0.09	0.191	0.44	CLDN4 High
EVC2	4p16.2	7.22	7.37	1.05	0.94	-0.15	0.191	0.44	CLDN4 Low
SLC17A6	11p14.3	0.13	0.26	0.52	1.08	-0.13	0.192	0.44	CLDN4 Low
NAF1	4q32.2	8.14	8.22	0.51	0.53	-0.08	0.192	0.44	CLDN4 Low
USP20	9q34.2	9.21	9.29	0.53	0.51	-0.08	0.192	0.44	CLDN4 Low
SLC37A2	11q24.2	7.19	7.38	1.26	1.17	-0.18	0.192	0.44	CLDN4 Low
GTF2IRD2P1	7q11.23	7.2	7.09	0.74	0.73	0.11	0.192	0.44	CLDN4 High
SLC3A2	11q12.3	11.44	11.36	0.58	0.49	0.08	0.192	0.44	CLDN4 High
WDR35	2p24.1	8.57	8.7	0.73	0.91	-0.12	0.192	0.44	CLDN4 Low
ARVCF	22q11.21	8.68	8.55	0.9	0.79	0.13	0.192	0.44	CLDN4 High
MZT2A	2q21.1	9.47	9.35	0.79	0.84	0.12	0.192	0.44	CLDN4 High
POU4F1	13q31.1	1.35	1.56	1.32	1.48	-0.21	0.192	0.44	CLDN4 Low
ADTRP	6p24.1	4.38	4.63	1.71	1.76	-0.26	0.192	0.44	CLDN4 Low
SCAP	3p21.31	11.36	11.43	0.54	0.49	-0.08	0.192	0.44	CLDN4 Low
HEATR1	1q43	10.35	10.43	0.52	0.53	-0.08	0.192	0.44	CLDN4 Low
VAMP3	1p36.23	11.04	11.11	0.49	0.51	-0.08	0.192	0.44	CLDN4 Low
INTS3	1q21.3	11.82	11.91	0.56	0.67	-0.09	0.192	0.44	CLDN4 Low
MGAT5	2q21.2-q21.3	8.1	8.23	0.93	0.77	-0.13	0.192	0.44	CLDN4 Low
XRCC6P5	Xq22.1	0.11	0.16	0.29	0.31	-0.04	0.192	0.44	CLDN4 Low
ZFYVE16	5q14.1	9.09	9.17	0.5	0.53	-0.08	0.192	0.44	CLDN4 Low
DEFB129	20p13	0.03	0.08	0.14	0.45	-0.05	0.192	0.44	CLDN4 Low
MECOM	3q26.2	11.31	11.16	0.83	1.22	0.16	0.192	0.44	CLDN4 High
H3C6	6p22.2	5.81	5.6	1.4	1.35	0.21	0.192	0.44	CLDN4 High
ZKSCAN1	7q22.1	9.78	9.88	0.64	0.63	-0.09	0.192	0.44	CLDN4 Low
RASA1	5q14.3	9.16	9.24	0.54	0.54	-0.08	0.192	0.44	CLDN4 Low
PDZD3	11q23.3	1.76	1.95	1.17	1.44	-0.2	0.192	0.441	CLDN4 Low
ZMAT4	8p11.21	1.5	1.74	1.5	1.7	-0.24	0.193	0.441	CLDN4 Low
AMDHD1	12q23.1	2.33	2.53	1.24	1.39	-0.2	0.193	0.441	CLDN4 Low
BNIP2	15q22.2	9.28	9.35	0.48	0.52	-0.07	0.193	0.441	CLDN4 Low
GUSBP3	5q13.2	5.33	5.44	0.79	0.77	-0.12	0.193	0.441	CLDN4 Low
SAGE1	Xq26.3	1.38	1.05	2.31	2.06	0.33	0.193	0.441	CLDN4 High
CYLC1	Xq21.1	0.03	0.06	0.1	0.28	-0.03	0.193	0.441	CLDN4 Low
MYO1G	7p13	6.76	6.92	1.08	1.13	-0.16	0.193	0.441	CLDN4 Low
CCDC78	16p13.3	6.23	6	1.67	1.49	0.24	0.193	0.441	CLDN4 High
PTHLH	12p11.22	4.55	4.35	1.32	1.32	0.2	0.193	0.441	CLDN4 High
RAF1	3p25.2	10.92	10.98	0.4	0.4	-0.06	0.193	0.441	CLDN4 Low
SUMF2	7p11.2	11.67	11.58	0.62	0.58	0.09	0.193	0.441	CLDN4 High
ASPRV1	2p13.3	5.21	5.36	1.03	1.09	-0.16	0.193	0.441	CLDN4 Low
USP19	3p21.31	10.8	10.87	0.47	0.47	-0.07	0.193	0.441	CLDN4 Low
THSD1	13q14.3	5.09	5.22	0.85	0.91	-0.13	0.193	0.441	CLDN4 Low
ATP5F1C	10p14	12.41	12.32	0.62	0.58	0.09	0.193	0.441	CLDN4 High
RPL13AP20	12p13.1	3.95	3.83	0.78	0.77	0.11	0.193	0.442	CLDN4 High
EPN1	19q13.42	11.96	12.04	0.61	0.54	-0.09	0.193	0.442	CLDN4 Low
SNAP47	1q42.13	9.8	9.74	0.42	0.41	0.06	0.193	0.442	CLDN4 High
PRL	6p22.3	0.58	0.73	0.99	1.13	-0.16	0.194	0.442	CLDN4 Low
C6ORF118	6q27	3.06	3.37	2.04	2.02	-0.3	0.194	0.442	CLDN4 Low
PRELID1P6	2p15	9.3	9.2	0.72	0.61	0.1	0.194	0.442	CLDN4 High
SFTPA1	10q22.3	0.17	0.12	0.37	0.25	0.05	0.194	0.442	CLDN4 High
KATNB1	16q21	8.99	9.08	0.58	0.58	-0.09	0.194	0.442	CLDN4 Low
CD79A	19q13.2	5.05	5.42	2.39	2.56	-0.37	0.194	0.442	CLDN4 Low
RNF13	3q25.1	9.84	9.76	0.53	0.49	0.08	0.194	0.443	CLDN4 High
ZNF24	18q12.2	10.5	10.6	0.66	0.63	-0.1	0.194	0.443	CLDN4 Low
NOP56	20p13	11.6	11.68	0.53	0.53	-0.08	0.194	0.443	CLDN4 Low
PPP1R21	2p16.3	9.37	9.46	0.59	0.61	-0.09	0.194	0.443	CLDN4 Low
PNPLA6	19p13.2	10.65	10.55	0.7	0.67	0.1	0.194	0.443	CLDN4 High
CADM3	1q23.2	6.48	6.94	2.99	3.23	-0.46	0.194	0.443	CLDN4 Low
AP2A1	19q13.33	11.31	11.39	0.51	0.46	-0.07	0.194	0.443	CLDN4 Low
TRAK2	2q33.1	9.82	9.9	0.51	0.56	-0.08	0.194	0.443	CLDN4 Low
NELFA	4p16.3	10.4	10.31	0.59	0.59	0.09	0.194	0.443	CLDN4 High
KCTD4	13q14.12-q14.13	0.38	0.46	0.48	0.51	-0.07	0.194	0.443	CLDN4 Low
NSDHL	Xq28	9.36	9.26	0.64	0.69	0.1	0.194	0.443	CLDN4 High
PHB	17q21.33	11.71	11.62	0.62	0.54	0.09	0.194	0.443	CLDN4 High
PWAR4	15q11.2	0.01	0.04	0.11	0.17	-0.02	0.194	0.443	CLDN4 Low
NEDD4L	18q21.31	9.48	9.6	0.77	0.79	-0.12	0.195	0.443	CLDN4 Low
UBXN2A	2p23.3	8.28	8.35	0.49	0.49	-0.07	0.195	0.443	CLDN4 Low
SLC23A3	2q35	3.61	3.4	1.39	1.32	0.2	0.195	0.443	CLDN4 High
LMBR1	7q36.3	10.18	10.26	0.52	0.57	-0.08	0.195	0.443	CLDN4 Low
MAT1A	10q22.3	6.26	5.98	2.01	1.76	0.28	0.195	0.444	CLDN4 High
FAM222B	17q11.2	9.89	9.8	0.64	0.61	0.09	0.195	0.444	CLDN4 High
FAM83E	19q13.33	5.88	5.58	2.01	2.08	0.3	0.195	0.444	CLDN4 High
FAM172A	5q15	9.05	9.14	0.63	0.58	-0.09	0.195	0.444	CLDN4 Low
TTC9B	19q13.2	0.77	0.64	1.01	0.7	0.13	0.195	0.444	CLDN4 High
NMD3	3q26.1	10.19	10.11	0.61	0.49	0.08	0.195	0.444	CLDN4 High
SPATA9	5q15	1.95	2.08	0.85	0.8	-0.12	0.195	0.444	CLDN4 Low
FAM20A	17q24.2	9.4	9.15	1.72	1.75	0.26	0.195	0.444	CLDN4 High
TMEM11	17p11.2	9.07	9	0.46	0.44	0.07	0.195	0.444	CLDN4 High
PPP1R1A	12q13.2	5.01	5.32	2.14	2.1	-0.31	0.195	0.444	CLDN4 Low
CHML	1q43	8.61	8.74	0.88	0.92	-0.13	0.195	0.444	CLDN4 Low
PCK1	20q13.31	7.23	6.83	2.74	2.6	0.4	0.195	0.444	CLDN4 High
SNAI2	8q11.21	7.42	7.64	1.4	1.58	-0.22	0.195	0.444	CLDN4 Low
DEFB104A	8p23.1	0.04	0.09	0.19	0.41	-0.05	0.195	0.444	CLDN4 Low
UTP23	8q24.11	9.31	9.4	0.64	0.63	-0.09	0.195	0.444	CLDN4 Low
PSMB3	17q12	11.29	11.19	0.71	0.65	0.1	0.195	0.444	CLDN4 High
CENPL	1q25.1	8.11	8.21	0.63	0.67	-0.1	0.195	0.444	CLDN4 Low
FLRT1	11q13.1	3.71	3.96	1.72	1.67	-0.25	0.195	0.444	CLDN4 Low
MAD2L1BP	6p21.1	8.89	8.81	0.56	0.57	0.08	0.195	0.444	CLDN4 High
H2BC11	6p22.1	6.56	6.35	1.53	1.37	0.21	0.196	0.445	CLDN4 High
SNORA55	1p34.3	0.3	0.22	0.65	0.43	0.08	0.196	0.445	CLDN4 High
TRIM6	11p15.4	6.23	6.4	1.06	1.23	-0.17	0.196	0.445	CLDN4 Low
CBX6	22q13.1	9.14	9.28	0.97	0.91	-0.14	0.196	0.445	CLDN4 Low
HEATR4	14q24.3	2.76	2.93	1.13	1.13	-0.17	0.196	0.445	CLDN4 Low
C2CD5	12p12.1	9.66	9.77	0.8	0.7	-0.11	0.196	0.445	CLDN4 Low
CASP4	11q22.3	10.03	9.9	0.92	0.83	0.13	0.196	0.445	CLDN4 High
UBE2J2	1p36.33	10.34	10.26	0.54	0.54	0.08	0.196	0.445	CLDN4 High
GLS2	12q13.3	6.53	6.69	1.11	1.06	-0.16	0.196	0.445	CLDN4 Low
MC5R	18p11.21	0.25	0.33	0.53	0.62	-0.09	0.196	0.445	CLDN4 Low
ZBTB22	6p21.3	9.27	9.19	0.56	0.53	0.08	0.196	0.445	CLDN4 High
TBATA	10q22.1	0.59	0.49	0.7	0.7	0.1	0.196	0.445	CLDN4 High
UPP1	7p12.3	7.52	7.35	1.2	1.19	0.18	0.196	0.445	CLDN4 High
SLC10A1	14q24.1	1.11	0.95	1.26	0.97	0.17	0.196	0.445	CLDN4 High
PSMB1	6q27	11.19	11.1	0.62	0.65	0.09	0.196	0.445	CLDN4 High
CLEC18A	16q22.1	5.19	5.49	1.91	2.17	-0.3	0.196	0.445	CLDN4 Low
SLC13A5	17p13.1	5.32	5.66	2.41	2.16	-0.34	0.196	0.445	CLDN4 Low
MSX1	4p16.2	7.23	7.54	2.11	2.13	-0.31	0.196	0.445	CLDN4 Low
RHBDD3	22q12.2	8.14	8.03	0.75	0.69	0.11	0.196	0.445	CLDN4 High
LINC00893	Xq28	5.8	5.99	1.31	1.17	-0.18	0.196	0.445	CLDN4 Low
ADAM33	20p13	6.31	6.61	2.08	2.01	-0.3	0.196	0.445	CLDN4 Low
STK32A	5q32	2.59	2.8	1.32	1.59	-0.22	0.196	0.445	CLDN4 Low
TTC24	1q22	1.5	1.68	1.21	1.22	-0.18	0.196	0.445	CLDN4 Low
EPHA5	4q13.1-q13.2	1.33	1.15	1.16	1.17	0.17	0.197	0.445	CLDN4 High
GATA1	Xp11.23	0.82	0.7	0.92	0.68	0.12	0.197	0.446	CLDN4 High
KIF1A	2q37.3	9.74	10.17	3.02	2.73	-0.43	0.197	0.446	CLDN4 Low
LINC02875	17q23.2	3.92	3.73	1.36	1.15	0.19	0.197	0.446	CLDN4 High
OR2Z1	19p13.2	0.01	0.01	0.05	0.08	-0.01	0.197	0.446	CLDN4 Low
TSPAN5	4q23	5.4	5.58	1.13	1.25	-0.18	0.197	0.446	CLDN4 Low
SERPINB11	18q21.33	0.04	0.01	0.22	0.06	0.02	0.197	0.446	CLDN4 High
SUPT4H1	17q22	10.7	10.61	0.54	0.59	0.08	0.197	0.446	CLDN4 High
SMC5	9q21.12	9.58	9.67	0.63	0.58	-0.09	0.197	0.446	CLDN4 Low
ERICH6B	13q14.13	0.07	0.04	0.31	0.15	0.04	0.197	0.446	CLDN4 High
ECRG4	2q12.2	6.36	6.68	2.15	2.19	-0.32	0.197	0.446	CLDN4 Low
IL33	9p24.1	5.71	5.93	1.44	1.47	-0.21	0.197	0.446	CLDN4 Low
KCTD14	11q14.1	8.89	9.1	1.44	1.4	-0.21	0.197	0.446	CLDN4 Low
GBP6	1p22.2	2.67	2.88	1.42	1.37	-0.21	0.197	0.446	CLDN4 Low
MCTP1	5q15	4.73	4.95	1.45	1.47	-0.22	0.197	0.446	CLDN4 Low
UBR2	6p21.1	9.2	9.28	0.57	0.54	-0.08	0.197	0.446	CLDN4 Low
IL21R	16p12.1	4.98	5.29	2.05	2.14	-0.31	0.197	0.446	CLDN4 Low
ABLIM1	10q25.3	11.81	11.95	0.91	0.94	-0.14	0.197	0.446	CLDN4 Low
GMPS	3q25.31	10.66	10.74	0.6	0.54	-0.08	0.197	0.446	CLDN4 Low
HEMGN	9q22.33	0.41	0.49	0.56	0.63	-0.09	0.197	0.446	CLDN4 Low
LZTR1	22q11.21	9.61	9.71	0.67	0.59	-0.09	0.197	0.447	CLDN4 Low
RSPH9	6p21.1	4.27	4.01	1.84	1.7	0.26	0.197	0.447	CLDN4 High
