accession	entrytype	taxon	n_samples	gds_type	gpl	pdat	title	summary	suppfile	gene_mentioned	matched_queries
GSE71877	GSE	Mus musculus	18		13112	2016/05/21	The mir-143-145 cluster plays a pro-tumorigenic role in lung adenocarcinoma by promoting neoangiogenesis	A growing body of literature has proposed cell-autonomous tumor suppressor functions for the mir-143~145 cluster in a variety of human cancers, including lung adenocarcinoma, and has reported therapeutic benefits of delivering mir-143 and mir- 145 to tumors. In contrast to these studies, we found that depletion or forced expression of mir-143 and mir-145 in an autochthonous mouse model of lung adenocarcinoma did not affect tumor development. Surprisingly, we observed that loss of mir-143~145 from the tumor microenvironment significantly reduced tumor burden, indicating a non-cell- autonomous role for these miRNAs in promoting tumorigenesis. By examining the expression patterns of different cell populations isolated in vivo from tumor-bearing lungs using an integrated computational approach, we identified a role for mir-145 in stimulating the proliferation of endothelial cells by downregulating an inhibitory kinase, Camk1d, which prevents mitotic entry. As a consequence, tumors in mir-143~145- deficient animals exhibited diminished hallmarks of neo-angiogenesis, increased apoptosis and their expansion appeared limited by the tumor’s ability to co-opt the alveolar vasculature. These findings show that expression of the mir-143~145 cluster in the tumor stroma promotes rather than suppresses tumorigenesis and cautions against the use of these miRNAs as agents in cancer therapeutics.	XLSX	False	"TACSTD2 AND (depletion OR ablation OR ""loss of function"")"
GSE72406	GSE	Mus musculus	6		1261	2016/06/15	Identification and targeting of long-term tumor propagating cells in small cell lung cancer	FACS sorted TPCs (CD24HighCD44LowEpCAMHigh) and non-TPCs (CD24Low, CD24HighCD44High, and CD24HighCD44LowEpCAMLow) from mouse primary SCLC tumors We used microarrays to identify genes that are differentially expressed in TPCs versus non-TPCs.	CEL	False	TACSTD2 AND lung AND (knockdown OR knockout OR shRNA OR siRNA OR CRISPR)
GSE76659	GSE	Mus musculus	13		6246	2017/03/08	Differential gene expression in either CD3+ lymphocytes or CD11b+ myeloid cells due to Class IIa HDAC inhibitor treatment	The aim of this study was to identify differential gene expression resulting from the inhibition of class IIa HDACs in the CD3+ or CD11b+ cells residing in MMTV-PyMT tumors.	CEL, MPS	False	"TACSTD2 AND (depletion OR ablation OR ""loss of function"")"
GSE77899	GSE	Mus musculus	12		6246	2018/01/01	Expression data on CD4+ Tfh populations from Peyer's Patches of IL-21eGFP BAC transgenic	The production of IL-21 by T follicular helper (Tfh) cells is vital in driving the germinal centre reaction and high affinity antibody formation. However, the degree of Tfh cell heterogeneity and function is not fully understood. Using a novel IL-21eGFP reporter mouse strain, we identified a subpopulation of GFP+ highly differentiated Tfh cells in Peyer’s Patches. In vitro, GFP+ cells that did not co-express IL-17 or Foxp3 were induced by CD3 and CD28 stimulation of naïve CD4+ cells from IL-21eGFP mice in cultures containing IL-6, TGFβ and retinoic acid. In vivo, the differentiation of GFP+Tfh cells in Peyer’s Patches was induced by intestinal bacteria, and required CD4+ T cells and B cells with diverse repertoires. Analysis of the TCRβ repertoire of Peyer’s Patches CD4+ T cell subpopulations demonstrated that GFP+Tfh cells are polyclonal and closely related to GFP-Tfh cells. Importantly, ablation of GFP+ cells resulted in a reduced frequency of Peyer’s Patches germinal center B cells and small but significant shifts in gut microbiome composition. Thus, using a new IL-21-reporter mouse we have identified a subpopulation of Tfh cells induced by the gut microbiota and necessary for optimal Peyer’s Patches germinal center responses.	CEL	False	"TACSTD2 AND (depletion OR ablation OR ""loss of function"")"
GSE78736	GSE	Homo sapiens	4		570	2018/03/01	Infection with Hepatitis C Virus Depends on TACSTD2, a Regulator of Claudin-1 and Occludin Highly Downregulated in Hepatocellular Carcinoma [cell line]	Our study identifies TACSTD2 as a novel regulator of two major HCV entry factors, CLDN1 and OCLN, which is strongly downregulated in malignant hepatocytes. These results provide new insights into the complex process of HCV entry into hepatocytes and may assist in the development of more efficient cellular systems for HCV propagation in vitro.	CEL	True	TACSTD2[Description];TACSTD2[Title]
GSE78737	GSE	Homo sapiens	107		570	2018/03/01	Infection with Hepatitis C Virus Depends on TACSTD2, a Regulator of Claudin-1 and Occludin Highly Downregulated in Hepatocellular Carcinoma	This SuperSeries is composed of the SubSeries listed below.	CEL	True	TACSTD2[Title]
GSE82071	GSE	Homo sapiens	20		11154	2016/06/01	A Basal Stem Cell Signature Identifies Aggressive Prostate Cancer Phenotypes	Aggressive cancers and normal stem cells often share similar molecular and functional traits. It is unclear if aggressive phenotypes of prostate cancer molecularly resemble normal stem cells residing within the human prostate. We performed high-throughput RNA sequencing on uncultured, highly purified epithelial populations from human prostates obtained after radical prostatectomy. We found the basal population to be defined by genes associated with developmental programs, epigenetic remodeling, and invasiveness. We further generated a 91-gene basal signature and applied it to gene expression datasets from patients with organ-confined or castration-resistant, metastatic prostate cancer. Metastatic prostate cancer was more enriched for the basal stem cell signature than organ-confined prostate cancer. Moreover, histological subtypes within prostate cancer metastases varied in their enrichment of the stem cell signature with small cell neuroendocrine carcinoma being the most stem cell-like. Bioinformatic analysis of the basal cell and two human small cell gene signatures identified a set of E2F target genes common to all three signatures. These results suggest that the most aggressive variants of prostate cancer share a core transcriptional program with normal prostate basal stem cells.	TXT	False	TROP2[Title]
GSE83114	GSE	Mus musculus	6		17021	2017/02/09	LTβR controls thymic portal endothelial cells for hematopoietic progenitor cell homing and T cell regeneration	Continuous thymic homing of hematopoietic progenitor cells (HPCs) via the blood is critical for normal T cell development. However, the nature and the differentiation program of the specialized thymic endothelial cells (ECs) controlling this process remain poorly understood. Here, using conditional gene-deficient mice, we find that lymphotoxin beta receptor (LTβR) directly controls thymic ECs to guide HPC homing. Interestingly, T cell deficiency or conditional ablation of T-cell-engaged LTβR signaling results in a defect in thymic HPC homing, suggesting the feedback regulation of thymic progenitor homing by thymic products. Furthermore, we identify and characterize a special thymic portal EC population with features that guide HPC homing. LTβR is essential for the differentiation and homeostasis of these thymic portal ECs. Finally, we show that LTβR is required for T cell regeneration upon irradiation-induced thymic injury. Together, these results uncover a cellular and molecular pathway that governs thymic EC differentiation for HPC homing.	TXT	False	"TACSTD2 AND (depletion OR ablation OR ""loss of function"")"
GSE84742	GSE	Mus musculus	8		6105	2016/07/23	Claudin-based barrier differentiation in the colonic epithelial crypt niche involves Hopx/Klf4 and Tcf7l2/Hnf4-alpha cascades	Analysis of the complex expression of claudin genes and transcription factors during intestinal epithelial cell differentiation across the crypt-to-surface colonic axis. Characterization of the complex expression gradients of transcription factors Hopx, Hnf4a, Klf4 and Tcfl2 and 12 claudin genes. In vitro confirmatory methods identified two pathways that stimulate claudin expression; Hopx/Klf4 activation of Cldn4, 7 and 15, and Tcf7l2/Hnf4a upregulation of Cldn23. Chromatin Immunoprecipitation confirmed a Tcf7l2/Hnf4a/Claudin23 cascade. Hnf4a conditional knockout mice fail to induce Cldn23 during colonocyte differentiation.	TXT	True	CLDN4[Description]
GSE90824	GSE	Mus musculus	37		13112	2017/08/01	Blimp1 induces transient metastatic heterogeneity in pancreatic cancer [RNA-seq]	Purpose: Due to its high metastatic proclivity, pancreatic ductal adenocarcinoma (PDAC) is one of the most deadly types of cancer. Therefore, it is imperative to better understand how the disease spreads as it progresses. Using a novel genetically engineered mouse model that allows us to isolate a subpopulation of cancer cells with superior metastatic capacity, we show that this aggressive phenotype correlates exclusively with a strong hypoxia signature. We subsequently identified the novel hypoxia-inducible gene Blimp1, which appears to play a critical role in regulating the hypoxic response upon its induction. Furthermore, genetic ablation of Blimp1 greatly reduces the level of metastasis in a PDAC mouse model. The nature of this Blimp1-regulated hypoxia signature is very unstable, since the seeded metastatic lesions mostly re-adopt similar transcriptomic profiles as the primary tumors. In conclusion, our results offer a potential mechanistic insight into how hypoxia drives metastasis in PDAC. Methods: Pure, paired GFP-negative/Tomato-positive and GFP-positive/Tomato-positive cancer cells or pure Tomato-positive cancer cells were sorted from primary PDAC samples from 6 KPC-colors mice or KPCT mice, respectively, with the following criteria: single cell based on FSC-A/H; CD45-negative; CD31-negative; Ter119-negative; F4/80-negative; DAPI-negative; and Tomato-positive. RNA were extracted from 10^4 to 5x10^4 freshly sorted cancer cells using AllPrep DNA/RNA Micro Kit (Qiagen). RNA quality was assessed with the RNA6000 PicoAssay kit by using the Bioanalyzer 2100 (Agilent). All ex vivo RNA samples used for RNA-seq analyses had an RIN > 8.0. Total RNA (15 ng/sample) was used for cDNA synthesis and amplification with the Ovation RNA-Seq system (NuGEN Technologies, Inc.). Subsequently, the amplified DNA samples were fragmented through sonication (Covaris model S1) and subjected to library preparation using the Illumina TruSeqTM DNA sample preparation kit (Low-Throughput protocol) according to manufacturer's protocol. The quality of purified cDNA library products was confirmed by bioanalyzer and prepared for cluster generation on HiSeq paired-end flow cells using the CBot automated cluster generation system followed by sequencing on HiSeq 2000 machines. We obtained 101bp, paired-end reads from fragments of an average length of 250bp. Subsequently, RNA-Seq reads were aligned to the mouse genome (mm10) using the STAR aligner with standard input parameters (Dobin et al., 2013). The number of reads uniquely aligned to exons of individual genes were counted with HTSeq against the UCSC KnownGene (mm10) transcriptome (Anders et al., 2015). Results: Compared to the GFP-negative counterparts, GFP-positive pure PDAC cancer cells express higher levels of genes that are highly enriched with hypoxia signature. Additionally, compared to the GFP-negative counterparts, GFP-positive pure PDAC cancer cells express lower levels of cell cycle-related genes. In contrast, pure cancer cells isolated based on locations reveal few consistent differentially expressed genes between primary tumor and liver metastases; no consistent differentially expressed gene between primary tumor and lymph node metastases. Conclusions: Transcriptome profiles of both GFP-negative/positive PDAC cancer cells suggest that Hmga2/GFP-expressing cancer cells are highly enriched for signatures that correspond to cells residing within hypoxic enrivonment.	TXT	False	"TACSTD2 AND (depletion OR ablation OR ""loss of function"")"
