accession	uid	queries	title	taxon	gdstype	n_samples	gpl	pubmed	pdat
GSE145148	200145148	nhej,sting1	Cell cycle checkpoints cooperate to suppress DNA and RNA associated molecular pattern recognition and anti-tumor immune responses	Homo sapiens	Expression profiling by high throughput sequencing	32	GPL18573	32877684	2020/10/06
GSE155570	200155570	dna_repair,nhej	Short term (16 hour) treatment of ER+ breast cancer cell lines with low doses of CDK4/6 inhibition	Homo sapiens	Expression profiling by array	39	GPL17692	32967938	2020/09/24
GSE138136	200138136	nhej	High-throughput capture of cis-rearrangement and trans-rearrangement sequence [LAM-HTGTS]	Mus musculus	Other	32	GPL16417	33067475	2020/08/24
GSE138135	200138135	nhej	Igk locus capture-based target enrichment  sequencing	Mus musculus	Other	3	GPL16417	33067475	2020/08/24
GSE150936	200150936	nhej	ALKBH1 deficiency leads to loss of homeostasis in human diploid somatic cells	Homo sapiens	Expression profiling by high throughput sequencing; Other	6	GPL20795	32661925	2020/05/22
GSE139144	200139144	nhej	Correction of ALS-related phenotypes in iPSC-derived motor neurons carrying a hexanucleotide expansion mutation in C9orf72 by CRISPR/Cas9 genome editing and homology-directed repair	Homo sapiens	Expression profiling by high throughput sequencing	12	GPL20301	32330447,39440303	2020/05/19
GSE131690	200131690	nhej	H3K36 methyltransferase SETD2 regulates NHEJ during lymphoid and neural development	Mus musculus	Genome binding/occupancy profiling by high throughput sequencing; Expression profiling by high throughput sequencing; Other	68	GPL17021	32169821	2020/03/23
GSE140372	200140372	nhej	Suppressing Proteasome Mediated Processing of Topoisomerase II DNA-Protein Adducts Preserves Genome Integrity	Mus musculus	Other	35	GPL21626	32057297	2020/02/20
GSE144280	200144280	nhej	Functional genomic consequences of MBD5 knockdown in mouse brain and CRISPR-derived neurons	Homo sapiens; Mus musculus	Expression profiling by high throughput sequencing	66	GPL13112	32503625	2020/01/28
GSE144279	200144279	nhej	Functional genomic consequences of MBD5 knockdown in mouse brain and CRISPR-derived neurons [cell lines]	Homo sapiens	Expression profiling by high throughput sequencing	12	GPL11154	32503625	2020/01/28
GSE83657	200083657	nhej	TBX5-KO RNA-seq	Homo sapiens	Expression profiling by high throughput sequencing	9	GPL17301		2020/01/26
GSE142782	200142782	nhej	CRISPR/Cas9-mediated gene correction in newborn rabbits with hereditary tyrosinemia type I [RNA-Seq]	Oryctolagus cuniculus	Expression profiling by high throughput sequencing	36	GPL26786	33221434	2019/12/31
GSE142722	200142722	nhej	CRISPR/Cas9-mediated gene correction in newborn rabbits with hereditary tyrosinemia type I	Oryctolagus cuniculus	Genome variation profiling by high throughput sequencing	60	GPL26786	33221434	2019/12/31
GSE142721	200142721	nhej	CRISPR/Cas9-mediated gene correction in newborn rabbits with hereditary tyrosinemia type I [DeepSeq2]	Oryctolagus cuniculus	Genome variation profiling by high throughput sequencing	6	GPL26786	33221434	2019/12/31
GSE142704	200142704	nhej	CRISPR/Cas9-mediated gene correction in newborn rabbits with hereditary tyrosinemia type I [DeepSeq1]	Oryctolagus cuniculus	Genome variation profiling by high throughput sequencing	18	GPL26786	33221434	2019/12/31
GSE111620	200111620	nhej	RNA-seq analysis of PRMT5-regulated genes in irradiated/non-irradiated LNCaP cells	Homo sapiens	Expression profiling by high throughput sequencing	12	GPL16791	31884170	2019/12/05
GSE140151	200140151	nhej	Butyrate-induced LncRNA lncly6c promotes Ly6Chigh to Ly6Clow/neg macrophages through lncly6c /C/EBP/Nr4A-1 axis	Mus musculus	Expression profiling by high throughput sequencing	2	GPL21273		2019/11/09
GSE139108	200139108	nhej	RNA-seq of etv2 mutant knock-in heterozygous and homozygous zebrafish embryos	Danio rerio	Expression profiling by high throughput sequencing	12	GPL21741	31705559	2019/10/19
GSE131421	200131421	nhej	Massively parallel profiling and predictive modeling of the outcomes of CRISPR/Cas9-mediated double-strand break repair	Homo sapiens	Other	4	GPL18573	31165867	2019/06/07
GSE125046	200125046	nhej	Detecting cytosine-5 methylation in RNA	Homo sapiens	Methylation profiling by high throughput sequencing	68	GPL16791	31186410	2019/03/22
GSE127752	200127752	nhej	Multiplexed Cas9 targeting reveals genomic location effects and gRNA-based staggered breaks influencing mutation efficiency and patterns	Mus musculus	Expression profiling by high throughput sequencing; Other; Third-party reanalysis	49	GPL16417	30962441	2019/03/08
GSE113169	200113169	dna_repair,dna_repair_title,nhej	A Zebrafish Acromegaly Model Elevates DNA Damage and Impairs DNA Repair Pathways	Danio rerio	Expression profiling by high throughput sequencing	27	GPL18413	30336646,32517323,33849304	2018/11/28
GSE112376	200112376	nhej,prkdc	Functional validation of microRNAs targeting genes of DNA double-strand break repair to radiosensitize non-small lung cancer cells	Homo sapiens	Non-coding RNA profiling by array	16	GPL24741	30389599	2018/11/13
GSE120621	200120621	nhej	Transcriptome measurements after knocking out the UMLILO lncRNA	Homo sapiens	Expression profiling by high throughput sequencing	2	GPL11154	30531872	2018/10/15
GSE97770	200097770	nhej	Inactivation of transcription factor HNF-1β with CRISPR/Cas9 induces epithelial-mesenchymal transition	Mus musculus	Expression profiling by high throughput sequencing	6	GPL17021	30097458	2018/08/10
GSE113698	200113698	dna_repair,nhej	Precise and Predictable CRISPR Chromosomal Rearrangement Editing Reveals Principles of Cas9-mediated Nucleotide Insertion	Homo sapiens	Expression profiling by high throughput sequencing	6	GPL20795	30033371	2018/07/26
GSE98768	200098768	nhej	Histone H3.1K27 methylation promotes NHEJ by antagonizing FANCD2 on Chromatin	Homo sapiens	Expression profiling by high throughput sequencing	15	GPL20795		2018/04/24
GSE106822	200106822	nhej	Three classes of recurrent DNA break clusters in brain progenitors identified by 3D proximity-based break joining assay	Mus musculus	Other	118	GPL16417	29432181,38678011	2018/01/19
GSE106922	200106922	nhej	DNA Double-strand Break Response Factors Influence End-joining Features of IgH Class Switch and General Translocation junctions	Mus musculus	Other	48	GPL16417	29311308	2018/01/08
GSE103907	200103907	dna_repair,nhej	LNCaP treated with iBET	Homo sapiens	Expression profiling by high throughput sequencing	6	GPL16791	29346775	2018/01/04
GSE108322	200108322	dna_repair,nhej	RNA deep sequencing analysis of glioma stem cells(GSCs) and non-GSCs	Homo sapiens	Expression profiling by high throughput sequencing	6	GPL16791	29415883	2017/12/20
GSE103241	200103241	dna_repair,nhej	Ectopic expression of RAD52 and dn53BP1 improves homology-directed repair during CRISPR/Cas9 genome editing	Homo sapiens	Other	30	GPL15520	31015609	2017/11/23
GSE84610	200084610	nhej	CHD1 loss sensitizes prostate cancer to DNA damaging therapy by promoting error-prone double-strand break repair	Mus musculus; Homo sapiens	Expression profiling by high throughput sequencing	20	GPL17021	28383660	2017/07/26
GSE65195	200065195	nhej	Ligase4 is essential for hematopoietic stem cell maintenance	Mus musculus	Expression profiling by array	6	GPL1261		2016/12/31
GSE90967	200090967	dna_repair,nhej	RAD51 ChIP-seq post treatment with CX-5461	Homo sapiens	Genome binding/occupancy profiling by high throughput sequencing	10	GPL15520	28211448	2016/12/06
GSE84102	200084102	dna_repair,dna_repair_title,nhej	The PAXX and XLF DNA Repair Factors are Functionally Redundant in Joining DNA breaks in a G1-arrested Progenitor B Cell Line	Mus musculus	Other	27	GPL16417	27601633	2016/08/19
GSE79667	200079667	nhej	Cas9 target DNA specificity in vitro and in vivo (S. cerevisiae)	synthetic construct	Other	208	GPL17769	27198218	2016/06/10
GSE78729	200078729	nhej	CRISPResso: sequencing analysis toolbox for CRISPR genome editing	Homo sapiens	Other	3	GPL16791	27404874	2016/03/04
GSE64869	200064869	nhej	Decoding NF1 intragenic copy number changes	Homo sapiens	Genome variation profiling by array	3	GPL19619		2015/07/30
GSE42451	200042451	nhej	RPA accumulation during class switch recombination represents 5'-3' DNA end resection during the S-G2/M phase of the cell cycle	Mus musculus	Genome binding/occupancy profiling by high throughput sequencing	47	GPL11002	23291097	2013/01/02
GSE35698	200035698	dna_repair,nhej	BRCA1 functions independently of homologous recombination in DNA interstrand crosslink repair	Mus musculus	Genome binding/occupancy profiling by high throughput sequencing	3	GPL9185	22445484	2012/09/30
GSE23240	200023240	dna_repair,nhej	CpG islands Methylation Profiling by DMH in Epithelial Ovarian Cancer: Screening Set	Homo sapiens	Methylation profiling by genome tiling array	222	GPL10734	21459799	2011/06/01
GSE21428	200021428	dna_repair,nhej	Real-time PCR array study for apoptosis genes after radiation exposure in mitochondrial mutant and normal human cells	Homo sapiens	Expression profiling by RT-PCR	6	GPL10348	20740641	2010/04/24
GSE20193	200020193	nhej	Altered levels of MOF and decreased levels of H4K16ac correlate with a defective DNA damage response (DDR).	Homo sapiens	Expression profiling by array	9	GPL570	20479123	2010/03/15
GSE12893	200012893	dna_repair,nhej	Characterization of the  Ku70 homologue HdfA deletion in Penicillium chrysogenum	Penicillium chrysogenum	Expression profiling by array	11	GPL6225	19269344	2009/03/09
GSE10860	200010860	dna_repair,nhej	Probing nucleosome function: A highly versatile library of synthetic histone H3 and H4 mutants	Saccharomyces cerevisiae	Other	9	GPL6574	18805098	2008/09/19
GSE6991	200006991	nhej	Band-array detection of chromosomal rearrangements in diploid yeast cells exposed to ionizing radiation	Saccharomyces cerevisiae	Genome variation profiling by genome tiling array	27	GPL4414	18701715	2007/02/10
GSE6984	200006984	nhej	CGH detection of chromosomal rearrangements in diploid yeast cells exposed to ionizing radiation	Saccharomyces cerevisiae	Genome variation profiling by genome tiling array	41	GPL4414	18701715	2007/02/08
GSE6178	200006178	dna_repair,nhej	Mechanisms of DNA double strand break repair in Arabidopsis non-homologous end joining mutants	Arabidopsis thaliana	Expression profiling by array	4	GPL198		2007/01/22
GSE301194	200301194	prkdc	Developmental xenocortication using human-derived organoids in mice	Homo sapiens; Mus musculus	Expression profiling by high throughput sequencing	8	GPL24676		2026/09/16
GSE338690	200338690	dna_repair,prkdc	Pharmacological inhibition of PRKDC-mediated DNA damage response by 3-hydroxyflavone selectively alleviates MLL-rearranged acute myeloid leukemia	Homo sapiens	Expression profiling by high throughput sequencing	18	GPL16791		2026/07/21
GSE330627	200330627	prkdc	BCMA CAR promoter choice drives a highly effective GZMK+ transcriptional program	Homo sapiens	Expression profiling by high throughput sequencing; Other	18	GPL24676		2026/05/18
GSE306609	200306609	prkdc	Sensitive CAR T cells redefine targetable CD70 expression in solid tumors [RNA-seq RCC]	Homo sapiens	Expression profiling by high throughput sequencing	55	GPL24676	41747043	2026/02/26
GSE306608	200306608	prkdc	Sensitive CAR T cells redefine targetable CD70 expression in solid tumors [CITE-seq]	Homo sapiens	Expression profiling by high throughput sequencing; Other	6	GPL34284	41747043	2026/02/26
GSE279961	200279961	prkdc	ICE-A: A chromatin interaction-based tool for improved annotation of distal cis-regulatory elements reveals novel regulatory functions of lineage-restricted transcription factors in lymphocytic development [PLAC-seq]	Mus musculus	Other	2	GPL19057	40687796	2025/07/23
GSE279957	200279957	prkdc	ICE-A: A chromatin interaction-based tool for improved annotation of distal cis-regulatory elements reveals novel regulatory functions of lineage-restricted transcription factors in lymphocytic development [ChIP-Seq]	Mus musculus	Genome binding/occupancy profiling by high throughput sequencing	6	GPL19057	40687796	2025/07/23
GSE283976	200283976	dna_repair,prkdc	DNA Damage Response Deficiency Enhances Neuroblastoma Progression and Sensitivity to Combination PARP and ATR Inhibition	Danio rerio	Expression profiling by high throughput sequencing	11	GPL34693		2025/02/10
GSE259306	200259306	prkdc	TurboCas: A method for locus-specific labeling of genomic regions and isolating their associated protein interactome [RNAseq]	Homo sapiens	Expression profiling by high throughput sequencing	111	GPL24676	39706164	2024/12/21
GSE273081	200273081	dna_repair,dna_repair_title,prkdc	Disparate pathways for extrachromosomal DNA biogenesis and genomic DNA repair	Homo sapiens	Other	246	GPL21697	39109936	2024/07/25
GSE267644	200267644	prkdc	Novel Long Noncoding RNA HEAT4 Affects Monocyte Subtypes, Reducing Inflammation and Promoting Vascular Healing [scRNA-seq HF]	Homo sapiens	Expression profiling by high throughput sequencing	11	GPL24676	39005211	2024/07/15
GSE267417	200267417	prkdc	 Novel Long Noncoding RNA HEAT4 Affects Monocyte Subtypes, Reducing Inflammation and Promoting Vascular Healing [RIP-seq]	Homo sapiens	Other	2	GPL24676	39005211	2024/07/15
GSE267414	200267414	prkdc	Novel Long Noncoding RNA HEAT4 Affects Monocyte Subtypes, Reducing Inflammation and Promoting Vascular Healing [RNA-seq_OE]	Homo sapiens	Expression profiling by high throughput sequencing	8	GPL24676	39005211	2024/07/15
GSE267412	200267412	prkdc	Novel Long Noncoding RNA HEAT4 Affects Monocyte Subtypes, Reducing Inflammation and Promoting Vascular Healing [RNA-seq_KD]	Homo sapiens	Expression profiling by high throughput sequencing	14	GPL24676	39005211	2024/07/15
GSE267411	200267411	prkdc	Novel Long Noncoding RNA HEAT4 Affects Monocyte Subtypes, Reducing Inflammation and Promoting Vascular Healing [ChIP-seq]	Homo sapiens	Genome binding/occupancy profiling by high throughput sequencing	16	GPL24676	39005211	2024/07/15
GSE237790	200237790	prkdc	Novel Long Noncoding RNA HEAT4 Affects Monocyte Subtypes, Reducing Inflammation and Promoting Vascular Healing [scRNA-seq]	Homo sapiens	Expression profiling by high throughput sequencing	2	GPL24676	39005211	2024/07/15
GSE268415	200268415	prkdc	PRKDC Induces Chemoresistance in Osteosarcoma by Recruiting GDE2 to Stabilize GNAS and Activate AKT	Homo sapiens	Expression profiling by high throughput sequencing	12	GPL24676		2024/06/14
GSE242568	200242568	prkdc	Role of tRNA-derived fragments in the cross-talk between immune cells and beta cells during type 1 diabetes pathogenesis	Mus musculus	Expression profiling by high throughput sequencing; Non-coding RNA profiling by high throughput sequencing	52	GPL24247		2024/05/24
GSE242563	200242563	prkdc	Role of tRNA-derived fragments in the cross-talk between immune cells and beta cells during type 1 diabetes pathogenesis (PD in vivo)	Mus musculus	Non-coding RNA profiling by high throughput sequencing	10	GPL24247		2024/05/24
